id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.08168983459,145.391998291,1609,+10:00,+10
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,6,+10:00,+10
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957,144.29600524902,1642,+10:00,+10
4,Nadzab Airport,Lae,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,72,+10:00,+10
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355835,147.2200012207,44,+10:00,+10
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,5,+10:00,+10
7,Narsarsuaq Airport,Narsarsuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,34,-02:00,-02
8,Godthaab / Nuuk Airport,Nuuk,Greenland,GOH,BGGH,64.19090271,-51.6781005859,86,-02:00,-02
9,Kangerlussuaq Airport,Kangerlussuaq,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,50,-02:00,-02
10,Thule Air Base,Pituffik,Greenland,THU,BGTL,76.5311965942,-68.7032012939,76,-03:00,ADT
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.660003662109,-18.072700500488,1,+00:00,GMT
12,Egilsstaðir Airport,Egilsstaðir,Iceland,EGS,BIEG,65.283302307129,-14.401399612427,23,+00:00,GMT
13,Hornafjörður Airport,Höfn,Iceland,HFN,BIHN,64.295601,-15.2272,7,+00:00,GMT
14,Húsavík Airport,Norðurþing,Iceland,HZK,BIHU,65.952301,-17.426001,14,+00:00,GMT
15,Ísafjörður Airport,Ísafjörður,Iceland,IFJ,BIIS,66.058097839355,-23.135299682617,2,+00:00,GMT
16,Keflavik International Airport,Reykjavík,Iceland,KEF,BIKF,63.985001,-22.6056,52,+00:00,GMT
17,Patreksfjörður Airport,Patreksfjörður,Iceland,PFJ,BIPA,65.555801,-23.965,3,+00:00,GMT
18,Reykjavik Airport,Reykjavík,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,14,+00:00,GMT
19,Siglufjörður Airport,Hvanneyri,Iceland,SIJ,BISI,66.133301,-18.9167,3,+00:00,GMT
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.424301147461,-20.278900146484,99,+00:00,GMT
21,Sault Ste Marie Airport,Sault Ste. Marie,Canada,YAM,CYAM,46.485001,-84.509399,192,-04:00,EDT
22,Mayne Island Seaplane Base,Mayne Island,Canada,YAV,CAW7,48.8666992188,-123.300003052,0,-04:00,EDT
23,Shearwater,Halifax,Canada,YAW,CYAW,44.639721,-63.499444,167,-4,A
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.0830993652,32,-02:30,NDT
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,24,-07:00,PDT
26,Kugaaruk Airport,Kugaaruk,Canada,YBB,CYBB,68.534401,-89.808098,17,-06:00,MDT
27,Baie Comeau Airport,Baie-Comeau,Canada,YBC,CYBC,49.1325,-68.204399,21,-04:00,EDT
28,CFB Bagotville,Saguenay,Canada,YBG,CYBG,48.330600738525,-70.996398925781,159,-04:00,EDT
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.2988967896,-96.077796936,17,-05:00,CDT
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.950802,-125.271004,105,-07:00,PDT
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,409,-05:00,CDT
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.138000488,27,-06:00,MDT
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,28,-07:00,PDT
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.2963981628,-117.632003784,494,-07:00,PDT
35,Miramichi Airport,Miramichi,Canada,YCH,CYCH,47.007801,-65.449203,32,-03:00,ADT
36,Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,40,-03:00,ADT
37,Kugluktuk Airport,Kugluktuk,Canada,YCO,CYCO,67.816704,-115.143997,22,-06:00,MDT
38,Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,-111.444999695,790,-06:00,MDT
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.939002991,9,-07:00,PDT
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446,26,-04:00,EDT
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882,64,-05:00,EST
42,Dawson City Airport,Dawson City,Canada,YDA,CYDA,64.043098449707,-139.12800598145,370,-07:00,MST
43,Burwash Airport,Burwash Landing,Canada,YDB,CYDB,61.371101379395,-139.04100036621,806,-07:00,MST
44,Drayton Valley Industrial Airport,Drayton Valley,Canada,YDC,CER3,53.265800476074,-114.95999908447,846,-06:00,MDT
45,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.210800170898,-57.391399383545,21,-02:30,NDT
46,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681,792,-07:00,PDT
47,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.100799560547,-100.05200195312,304,-05:00,CDT
48,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.742298126221,-120.18299865723,654,-07:00,MST
49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.3097000122,-113.580001831,723,-06:00,MDT
50,Arviat Airport,Arviat,Canada,YEK,CYEK,61.0942001343,-94.0708007812,9,-05:00,CDT
51,Estevan Airport,Estevan,Canada,YEN,CYEN,49.2103004456,-102.966003418,580,-06:00,CST
52,Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.464996338,927,-06:00,MDT
53,Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355,78,-03:00,ADT
54,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.3041992188,-133.483001709,68,-06:00,MDT
55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,33,-04:00,EDT
56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.868900299072,-66.537200927734,20,-03:00,ADT
57,Forestville,Forestville,Canada,,CYFE,48.746111,-69.097222,293,-5,A
58,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.678100585938,-101.68199920654,303,-05:00,CDT
59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441,160,-06:00,MDT
60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.760200500488,-121.23699951172,169,-06:00,MDT
61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.225299835205,-76.596900939941,92,-04:00,EDT
62,La Grande Rivière Airport,Radisson,Canada,YGL,CYGL,53.625301361084,-77.704200744629,194,-04:00,EDT
63,Gaspé (Michel-Pouliot) Airport,Gaspé,Canada,YGP,CYGP,48.7752990723,-64.4785995483,34,-04:00,EDT
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.778301239014,-86.939399719238,348,-04:00,EDT
65,Îles-de-la-Madeleine Airport,Îles de la Madeleine,Canada,YGR,CYGR,47.424701690674,-61.778099060059,10,-03:00,ADT
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.310997009,358,-06:00,CST
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.831699,-92.744202,412,-05:00,CDT
68,Ulukhaktok Holman Airport,Ulukhaktok,Canada,YHI,CYHI,70.762802124023,-117.80599975586,35,-06:00,MDT
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277,46,-06:00,MDT
70,John C. Munro Hamilton International Airport,Toronto,Canada,YHM,CYHM,43.1735992432,-79.9349975586,237,-04:00,EDT
71,Montréal / Saint-Hubert Airport,Montréal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,27,-04:00,EDT
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,164,-06:00,MDT
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.8807983398,-63.5085983276,145,-03:00,ADT
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104,429,-05:00,EST
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,55,-04:00,EDT
76,St Jean Airport,Saint-Jean-sur-Richelieu,Canada,YJN,CYJN,45.294399261475,-73.281097412109,41,-04:00,EDT
77,Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.544200897217,-58.549999237061,25,-02:30,NDT
78,Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.7022018433,-120.444000244,345,-07:00,PDT
79,Waterloo Airport,Toronto,Canada,YKF,CYKF,43.4608001709,-80.3786010742,321,-04:00,EDT
80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530166626,-66.805297851562,520,-04:00,EDT
81,Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.5175018311,-109.180999756,693,-06:00,CST
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.862201690674,-79.370002746582,198,-04:00,EDT
83,Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.819999694824,-83.346702575684,448,-04:00,EDT
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.125301361084,-108.52300262451,480,-06:00,CST
85,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.309200286865,-110.07299804688,668,-06:00,MDT
86,Alert Airport,Alert Bay,Canada,YLT,CYLT,82.5177993774,-62.2806015015,30,-07:00,PDT
87,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352,433,-07:00,PDT
88,Mayo Airport,Mayo,Canada,YMA,CYMA,63.616401672363,-135.86799621582,503,-07:00,MST
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.330299377441,-105.55899810791,576,-06:00,CST
90,Fort McMurray Airport,Fort McMurray,Canada,YMM,CYMM,56.653301239,-111.222000122,369,-06:00,MDT
91,Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.29109954834,-80.607803344727,9,-04:00,EDT
92,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.2728004456,-75.9906005859,199,-04:00,EDT
93,Montreal International (Mirabel) Airport,Montréal,Canada,YMX,CYMX,45.679501,-74.038696,82,-04:00,EDT
94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.189998626709,-61.789199829102,11,-04:00,EDT
95,Ottawa / Gatineau Airport,Ottawa,Canada,YND,CYND,45.521702,-75.563599,64,-04:00,EDT
96,Matagami Airport,Matagami,Canada,YNM,CYNM,49.761699676514,-77.802803039551,279,-04:00,EDT
97,Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.570602416992,-139.8390045166,251,-07:00,MST
98,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.404998779297,-110.27899932861,540,-06:00,MDT
99,High Level Airport,High Level,Canada,YOJ,CYOJ,58.621398925781,-117.16500091553,338,-06:00,MDT
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.322498321533,-75.66919708252,113,-04:00,EDT
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.2141990662,-105.672996521,428,-06:00,CST
102,Peace River Airport,Peace River,Canada,YPE,CYPE,56.226898,-117.446999,570,-06:00,MDT
103,Southport Airport,Portage la Prairie,Canada,YPG,CYPG,49.903099,-98.273817,269,-05:00,CDT
104,Pitt Meadows,Pitt Meadows,Canada,,CYPK,49.21611,-122.71,11,-8,A
105,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.446399688721,-90.214202880859,386,-04:00,EDT
106,Port Menier Airport,Port-Menier,Canada,YPN,CYPN,49.836399078369,-64.288597106934,50,-04:00,EDT
107,Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,44.229999542236,-78.363296508789,191,-04:00,EDT
108,Prince Rupert Airport,Prince Rupert,Canada,YPR,CYPR,54.2860984802,-130.445007324,35,-07:00,PDT
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.767200469971,-111.11699676514,231,-06:00,MDT
110,Muskoka Airport,Muskoka,Canada,YQA,CYQA,44.974700927734,-79.303298950195,281,-04:00,EDT
111,Quebec Jean Lesage International Airport,Québec,Canada,YQB,CYQB,46.7911,-71.393303,74,-04:00,EDT
112,Red Deer Regional Airport,Red Deer,Canada,YQF,CYQF,52.182201385498,-113.89399719238,904,-06:00,MDT
113,Windsor Airport,Windsor,Canada,YQG,CYQG,42.27560043335,-82.955596923828,189,-04:00,EDT
114,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.116401672363,-128.82200622559,687,-07:00,PDT
115,Kenora Airport,Kenora,Canada,YQK,CYQK,49.788299560547,-94.363098144531,405,-05:00,CDT
116,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.6302986145,-112.800003052,928,-06:00,MDT
117,Greater Moncton Roméo LeBlanc International Airport,Moncton,Canada,YQM,CYQM,46.112202,-64.678596,70,-03:00,ADT
119,Comox Airport,Comox,Canada,YQQ,CYQQ,49.710800170898,-124.8870010376,25,-07:00,PDT
120,Regina International Airport,Regina,Canada,YQR,CYQR,50.431900024414,-104.66600036621,577,-06:00,CST
121,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.371898651123,-89.32389831543,199,-04:00,EDT
122,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136,669,-06:00,MDT
123,Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,51.264701843262,-102.46199798584,498,-06:00,CST
124,North Battleford Airport,North Battleford,Canada,YQW,CYQW,52.769199371338,-108.2440032959,548,-06:00,CST
125,Gander International Airport,Gander,Canada,YQX,CYQX,48.936901092529,-54.568099975586,151,-02:30,NDT
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1614,-60.047798,61,-03:00,ADT
127,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.026100158691,-122.51000213623,545,-07:00,PDT
128,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.7169036865,-94.9693984985,65,-05:00,CDT
129,Rivière-du-Loup Airport,Rivière-du-Loup,Canada,YRI,CYRI,47.764400482178,-69.584701538086,130,-04:00,EDT
130,Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.520000457764,-72.265602111816,178,-04:00,EDT
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,52.4296989441,-114.903999329,988,-06:00,MDT
132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.8114013672,-92.1157989502,28,-05:00,CDT
133,Sudbury Airport,Greater Sudbury,Canada,YSB,CYSB,46.625,-80.798896789551,347,-04:00,EDT
134,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.438598632812,-71.691398620605,241,-04:00,EDT
135,Saint John Airport,Saint John,Canada,YSJ,CYSJ,45.316101074219,-65.890296936035,108,-03:00,ADT
136,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.020301818848,-111.96199798584,204,-06:00,MDT
137,Nanisivik,Nanisivik,Canada,YSR,CYSR,72.982222,-84.613611,2106,-5,A
138,Summerside Airport,Summerside,Canada,YSU,CYSU,46.440601348877,-63.833599090576,17,-03:00,ADT
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.242996216,85,-06:00,MDT
140,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809,49,-04:00,EDT
141,Thompson Airport,Thompson,Canada,YTH,CYTH,55.80110168457,-97.864196777344,222,-05:00,CDT
142,CFB Trenton,Trenton,Canada,YTR,CYTR,44.118900299072,-77.528099060059,86,-03:00,ADT
143,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.5696983337,-81.376701355,294,-04:00,EDT
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,76,-04:00,EDT
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.433296203613,-133.02600097656,4,-06:00,MDT
146,Montreal / Pierre Elliott Trudeau International Airport,Montréal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,35,-04:00,EDT
147,Naujaat Airport,Naujaat,Canada,YUT,CYUT,66.5214,-86.224701,24,-05:00,CDT
148,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.7761001587,-81.2425,9,-04:00,EDT
149,Rouyn Noranda Airport,Rouyn-Noranda,Canada,YUY,CYUY,48.206100463867,-78.835601806641,301,-04:00,EDT
150,La Ronge Airport,La Ronge,Canada,YVC,CYVC,55.1514015198,-105.262001038,378,-06:00,CST
151,Vermilion Airport,Vermilion,Canada,YVG,CYVG,53.3558006287,-110.823997498,617,-06:00,MDT
152,Qikiqtarjuaq Airport,Qikiqtarjuaq,Canada,YVM,CYVM,67.5457992554,-64.0314025879,6,-04:00,EDT
153,Val-d'Or Airport,Val-d'Or,Canada,YVO,CYVO,48.0532989502,-77.7827987671,337,-04:00,EDT
154,Kuujjuaq Airport,Kuujjuaq,Canada,YVP,CYVP,58.096099853516,-68.426902770996,39,-04:00,EDT
155,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.281600952148,-126.797996521,72,-06:00,MDT
156,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,4,-07:00,PDT
157,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,55.8418998718,-108.417999268,433,-06:00,CST
158,Wiarton Airport,Wiarton,Canada,YVV,CYVV,44.7458,-81.107201,222,-04:00,EDT
159,Petawawa Airport,Petawawa,Canada,YWA,CYWA,45.952201843262,-77.319198608398,130,-04:00,EDT
160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.9099998474,-97.2398986816,238,-05:00,CDT
161,Wabush Airport,Wabush,Canada,YWK,CYWK,52.921901702881,-66.864402770996,551,-03:00,ADT
162,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854,940,-07:00,PDT
163,Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.209400177002,-123.43699645996,149,-06:00,MDT
164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066,939,-06:00,MDT
165,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.5724983215,-113.521003723,671,-06:00,MDT
166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.170799255371,-106.69999694824,503,-06:00,CST
167,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.018901824951,-110.72100067139,716,-06:00,MDT
168,Fort St John Airport,Fort St. John,Canada,YXJ,CYXJ,56.238098,-120.739998,694,-07:00,MST
169,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.113899230957,-91.905296325684,383,-05:00,CDT
170,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.7136001587,22,-04:00,EDT
171,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,47.6974006546,-79.8473453522,243,-04:00,EDT
172,Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,690,-07:00,PDT
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,217,-07:00,PDT
174,London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539,277,-04:00,EDT
175,Abbotsford Airport,Vancouver,Canada,YXX,CYXX,49.025299072266,-122.36100006104,59,-07:00,PDT
176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.7095985413,-135.067001343,706,-07:00,MST
177,North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,46.363602,-79.422798,370,-04:00,EDT
178,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899231,-114.019996643,1084,-06:00,MDT
179,Smithers Airport,Smithers,Canada,YYD,CYYD,54.824699401855,-127.18299865723,521,-07:00,PDT
180,Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.597000122,381,-07:00,MST
181,Penticton Airport,Penticton,Canada,YYF,CYYF,49.46310043335,-119.60199737549,344,-07:00,PDT
182,Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.290000915527,-63.121101379395,48,-03:00,ADT
183,Taloyoak Airport,Taloyoak,Canada,YYH,CYYH,69.5467,-93.576698,28,-06:00,MDT
184,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,19,-07:00,PDT
185,Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,56.863899230957,-101.07599639893,356,-05:00,CDT
186,Swift Current Airport,Swift Current,Canada,YYN,CYYN,50.2919006348,-107.691001892,816,-06:00,CST
187,Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.739200592041,-94.065002441406,28,-03:00,ADT
188,Goose Bay Airport,Happy Valley-Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.4258003235,48,-03:00,ADT
189,St. John's International Airport,St. John's,Canada,YYT,CYYT,47.618598938,-52.7518997192,140,-02:30,NDT
190,Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.413898468018,-82.467498779297,226,-04:00,EDT
191,Armstrong Airport,Armstrong,Canada,YYW,CYYW,50.290298461914,-88.909698486328,322,-07:00,PDT
192,Mont Joli Airport,Mont-Joli,Canada,YYY,CYYY,48.608600616455,-68.208099365234,52,-04:00,EDT
193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.6305999756,173,-04:00,EDT
194,Downsview,Toronto,Canada,YZD,CYZD,43.7425,-79.465556,652,-5,A
195,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,CYZE,45.885299682617,-82.567802429199,193,-04:00,EDT
196,Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.462799072266,-114.44000244141,205,-06:00,MDT
197,Slave Lake Airport,Slave Lake,Canada,YZH,CYZH,55.2930984497,-114.777000427,582,-06:00,MDT
198,Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.2542991638,-131.813995361,6,-07:00,PDT
199,Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.999401092529,-82.308898925781,181,-04:00,EDT
200,Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.680599212646,-127.36699676514,21,-07:00,PDT
201,Whitecourt Airport,Whitecourt,Canada,YZU,CYZU,54.143901824951,-115.78700256348,782,-06:00,MDT
202,Sept-Îles Airport,Sept-Îles,Canada,YZV,CYZV,50.223300933838,-66.265602111816,54,-04:00,EDT
203,Teslin Airport,Teslin,Canada,YZW,CYZW,60.172798156738,-132.74299621582,704,-07:00,MST
204,CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.984401702881,-64.916900634766,28,-03:00,ADT
205,Faro Airport,Faro,Canada,ZFA,CZFA,62.207500457764,-133.37600708008,716,-07:00,MST
206,Fort Mcpherson Airport,Fort McPherson,Canada,ZFM,CZFM,67.407501220703,-134.86099243164,35,-06:00,MDT
207,Blida,Blida,Algeria,,DAAB,36.503613,2.814167,535,1,N
208,Bou Saada,Bou Saada,Algeria,,DAAD,35.3325,4.206389,1506,1,N
209,Soummam Airport,Bougie,Algeria,BJA,DAAE,36.7120018005,5.06992006302,6,+01:00,CET
210,Houari Boumediene Airport,Algiers,Algeria,ALG,DAAG,36.69100189209,3.2154099941254,24,+01:00,CET
211,Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292801,9.45244,967,+01:00,CET
212,Boufarik,Boufarik,Algeria,QFD,DAAK,36.545834,2.876111,335,1,N
213,Reggane,Reggan,Algeria,,DAAN,26.710103,0.285647,955,1,N
214,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,26.7234992981,8.62265014648,541,+01:00,CET
215,Ain Oussera,Ain Oussera,Algeria,,DAAQ,35.525414,2.878714,2132,1,N
216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543,1377,+01:00,CET
217,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,36.7951011658,5.87361001968,10,+01:00,CET
218,Mecheria,Mecheria,Algeria,,DAAY,33.535853,-0.242353,3855,1,N
219,Relizane,Relizane,Algeria,,DAAZ,35.752239,0.626272,282,1,N
220,Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,36.822201,7.809174,4,+01:00,CET
221,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.276000976562,6.6203899383545,690,+01:00,CET
222,Cheikh Larbi Tébessi Airport,Theveste,Algeria,TEE,DABS,35.4315986633,8.12071990967,811,+01:00,CET
224,Hassi R'Mel Airport,Hassi R’mel,Algeria,HRM,DAFH,32.930400848389,3.311539888382,774,+01:00,CET
225,Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.3410987854,1.46315002441,989,+01:00,CET
226,Bou Sfer,Bou Sfer,Algeria,,DAOE,35.735389,-0.805389,187,1,N
227,Tindouf Airport,Tindouf,Algeria,TIN,DAOF,27.7003993988,-8.1670999527,442,+01:00,CET
228,Ech Cheliff,Ech-cheliff,Algeria,QAS,DAOI,36.212658,1.331775,463,1,N
229,Tafaraoui Airport,Oran,Algeria,TAF,DAOL,35.542400360107,-0.53227800130844,111,+01:00,CET
230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.0167007446,-1.45000004768,248,+01:00,CET
231,Es Senia Airport,Oran,Algeria,ORN,DAOO,35.6239013672,-0.621182978153,89,+01:00,CET
232,Sidi Bel Abbes,Sidi Bel Abbes,Algeria,,DAOS,35.171775,-0.593275,1614,1,N
233,Ghriss Airport,Mascara,Algeria,MUW,DAOV,35.207698822021,0.14714199304581,513,+01:00,CET
234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.837600708008,-0.18641400337219,280,+01:00,CET
235,Biskra Airport,Biskra,Algeria,BSK,DAUB,34.7933006287,5.73823022842,88,+01:00,CET
236,El Golea Airport,El Golea,Algeria,ELG,DAUE,30.571300506592,2.8595900535583,398,+01:00,CET
237,Noumérat - Moufdi Zakaria Airport,Ghardaïa,Algeria,GHA,DAUG,32.384101867676,3.7941100597382,460,+01:00,CET
238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.6730003357,6.14043998718,141,+01:00,CET
239,In Salah Airport,In Salah,Algeria,INZ,DAUI,27.2509994507,2.51202011108,273,+01:00,CET
240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.067798614502,6.0886697769165,85,+01:00,CET
241,Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.7644004822,2.92833995819,765,+01:00,CET
242,Timimoun Airport,Timimoun,Algeria,TMX,DAUT,29.2371006012,0.276033014059,313,+01:00,CET
243,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.917200088501,5.4127798080444,149,+01:00,CET
244,In Aménas Airport,I-n-Amenas,Algeria,IAM,DAUZ,28.0515,9.64291,562,+01:00,CET
